Property_Name,Unit_Number,Damages
Fairfax,7267,0.0
Fairfax,7268,0.0
Fairfax,7269,286.43
Fairfax,7270,649.98
Fairfax,7271,491.48
Fairfax,7272,332.16
Fairfax,7273,389.73
Fairfax,7274,336.05
Fairfax,7275,345.24
Fairfax,7277,766.36
Fairfax,7278,99.53
Fairfax,7279,378.12
Fairfax,7280,573.25
Fairfax,7281,331.33
Fairfax,7282,208.47
Fairfax,7283,308.98
Fairfax,7284,284.61
Fairfax,7285,382.81
Fairfax,7286,307.68
Fairfax,7287,280.37
Fairfax,7288,205.72
Fairfax,7289,456.48
Fairfax,7290,212.37
Fairfax,7291,137.48
Fairfax,7292,236.09
Fairfax,7293,290.38
Fairfax,7294,293.2
Fairfax,7295,580.47
Fairfax,7296,319.95
Fairfax,7297,50.66
Fairfax,7298,366.6
Fairfax,7299,506.39
Fairfax,7300,408.02
Fairfax,7301,147.05
Fairfax,7302,386.65
Fairfax,7303,144.88
Fairfax,7304,200.27
Fairfax,7305,413.41
Fairfax,7306,752.1899999999999
Fairfax,7307,435.16
Fairfax,7308,116.97999999999999
Fairfax,7309,89.71
Fairfax,7310,307.53
Fairfax,7311,263.01
Fairfax,7312,453.24
Fairfax,7313,160.74
Fairfax,7314,209.7
Fairfax,7315,448.45
Fairfax,7316,317.15
Fairfax,7317,176.53
Fairfax,7318,244.88
Fairfax,7319,263.1
Fairfax,7320,228.33
Fairfax,7321,236.48000000000002
Fairfax,7322,410.63
Fairfax,7323,366.87
Fairfax,7324,350.57
Fairfax,7325,196.92000000000002
Fairfax,7326,793.89
Fairfax,7327,292.4
Fairfax,7328,323.65
Fairfax,7329,166.06
Fairfax,7330,306.43
Fairfax,7331,427.83
Fairfax,7332,172.4
Fairfax,7333,206.51
Fairfax,7334,154.44
Fairfax,7335,401.15999999999997
Fairfax,7336,342.01
Fairfax,7337,414.55
Fairfax,7338,116.36999999999999
Fairfax,7339,348.4
Fairfax,7340,243.75
Fairfax,7341,147.12
Fairfax,7342,500.44
Fairfax,7343,387.82
Fairfax,7344,317.25
Fairfax,7345,662.26
Fairfax,7346,422.14
Fairfax,7347,386.11
Fairfax,7348,309.84
Fairfax,16415,551.79
Fairfax,16416,1452.46
Fairfax,16418,395.83
Fairfax,16419,531.49
Fairfax,16423,463.90999999999997
Fairfax,16428,1255.6200000000001
Fairfax,16434,1085.08
Fairfax,16436,807.41
Glouster,902,416.62
Glouster,903,148.38
Glouster,904,286.45
Glouster,905,223.45000000000002
Glouster,906,136.49
Glouster,907,181.17
Glouster,908,115.86
Glouster,909,450.57
Glouster,910,138.24
Glouster,911,87.18
Glouster,912,106.12
Glouster,913,438.31
Glouster,914,28.86
Glouster,915,324.64
Glouster,916,67.81
Glouster,917,11.22
Glouster,918,48.33
Glouster,919,682.29
Glouster,920,552.98
Glouster,921,148.4
Glouster,922,333.87
Glouster,923,213.47
Glouster,924,65.01
Glouster,925,104.48
Glouster,926,13.93
Glouster,927,2.27
Glouster,928,170.0
Glouster,929,167.55
Glouster,930,86.65
Glouster,931,88.15
Glouster,932,400.77
Glouster,933,174.5
Glouster,934,196.62
Glouster,935,94.6
Glouster,936,357.7
Glouster,937,122.5
Glouster,938,90.9
Glouster,939,286.33
Glouster,940,238.34
Glouster,941,38.29
Glouster,942,156.5
Glouster,943,115.62
Glouster,944,126.41
Glouster,945,280.12
Glouster,946,116.33
Glouster,947,334.09
Glouster,948,689.33
Glouster,949,165.87
Glouster,950,227.59
Glouster,951,155.19
Glouster,952,18.42
Glouster,953,476.56
Glouster,954,186.6
Glouster,955,140.6
Glouster,956,85.64
Glouster,957,159.60999999999999
Glouster,958,327.21
Glouster,959,72.87
Glouster,960,101.25
Glouster,961,45.769999999999996
Glouster,962,464.7
Glouster,963,5.16
Glouster,964,346.49
Glouster,965,76.23
Glouster,966,173.16
Glouster,967,154.24
Glouster,968,154.04
Glouster,969,82.71
Glouster,970,20.56
Glouster,971,296.99
Glouster,972,138.78
Glouster,973,188.96
Glouster,974,213.34
Glouster,975,346.06
Glouster,976,186.85
Glouster,977,97.83
Glouster,978,123.83
Glouster,979,263.09
Glouster,980,125.38
Glouster,981,169.45
Glouster,982,42.08
Glouster,983,83.33
Glouster,984,185.4
Glouster,985,37.82
Glouster,986,78.9
Glouster,987,45.4
Glouster,988,333.01
Glouster,989,31.71
Glouster,990,129.0
Glouster,991,283.95
Glouster,992,169.33
Glouster,993,140.01999999999998
Glouster,994,322.3
Glouster,995,193.81
Glouster,996,212.24
Glouster,997,131.04
Glouster,998,129.59
Glouster,999,234.12
Glouster,1000,45.62
Glouster,1001,178.19
Glouster,1002,63.86
Glouster,1003,143.55
Glouster,1004,320.99
Glouster,1005,9.84
Glouster,1006,233.28
Glouster,1007,199.97
Glouster,1008,268.73
Glouster,1009,437.58
Glouster,1010,459.05
Glouster,1011,43.23
Glouster,1012,133.22
Glouster,1013,175.68
Glouster,1014,251.75
Glouster,1015,127.18
Glouster,1016,113.48
Glouster,1017,14.28
Glouster,1018,282.04
Glouster,1019,254.95
Glouster,1020,137.32
Glouster,1021,120.06
Glouster,1022,140.89000000000001
Glouster,1023,167.22
Glouster,1024,83.15
Glouster,1025,147.79
Glouster,1026,112.01
Glouster,1027,179.47
Glouster,1028,381.8
Glouster,1029,148.43
Glouster,1030,58.8
Glouster,1031,171.24
Glouster,1032,138.84
Glouster,1033,173.26
Glouster,1034,98.27
Glouster,1035,261.35
Glouster,1036,123.75999999999999
Glouster,1037,430.39
Glouster,1038,382.82
Glouster,1039,252.95
Glouster,1040,288.22
